"filename", "language", "XML", "C#", "Markdown", "JavaScript", "ASP.NET Razor", "MS SQL", "JSON", "PostCSS", "comment", "blank", "total"
"d:\.net\start\Views\Admin\_AddEditBranchModal.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 112, 0, 0, 0, 0, 12, 124
"d:\.net\start\Views\Admin\_AddEditDiscountModal.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 125, 0, 0, 0, 0, 17, 142
"d:\.net\start\Views\Admin\_AddEditNewsModal.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 60, 0, 0, 0, 0, 11, 71
"d:\.net\start\Views\Admin\_AddEditProductModal.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 171, 0, 0, 0, 0, 12, 183
"d:\.net\start\Views\Contact\Contact.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 173, 0, 0, 0, 0, 17, 190
"d:\.net\start\Views\Employee\Chat.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"d:\.net\start\Views\Employee\Contract.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 76, 0, 0, 0, 0, 21, 97
"d:\.net\start\Views\Employee\DayOff.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 124, 0, 0, 0, 0, 14, 138
"d:\.net\start\Views\Employee\EditProfile.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 139, 0, 0, 0, 0, 19, 158
"d:\.net\start\Views\Employee\Profile.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 93, 0, 0, 0, 10, 15, 118
"d:\.net\start\Views\Employee\Salary.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 170, 0, 0, 0, 0, 15, 185
"d:\.net\start\Views\Employee\Schedule.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 113, 0, 0, 0, 4, 19, 136
"d:\.net\start\Views\Employee\_Header.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 26, 0, 0, 0, 2, 3, 31
"d:\.net\start\Views\Employee\_Tabs.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\.net\start\Views\Home\Index.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 43, 0, 0, 0, 0, 6, 49
"d:\.net\start\Views\Home\Introduce.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 144, 0, 0, 0, 0, 32, 176
"d:\.net\start\Views\Home\News.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
"d:\.net\start\Views\Home\NewsDetail.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"d:\.net\start\Views\Home\Privacy.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 625, 0, 0, 0, 0, 82, 707
"d:\.net\start\Views\Home\Store.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 285, 0, 0, 0, 28, 29, 342
